Content,aspect_labels,sentiment_scores
the entire staff at ocvh went over and beyond the call of duty to make my sweet cat feel better  from the sweet lady that answered the phone to the friendly man that helped carry my cat out to the car you are all angels  thank you for your awesome service,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
everyone was very thoughtful caring and attentive,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i called for an appointment on very short notice and they took me right in my boston terrier  had kennel cough and i was very concerned about her choking everyone was so  comforting and the vet examined her almost immediately  i was in and out less than 40 minutes i will now be using dr erica as my pets permanent vet great staff,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
after an unbelievably awful experience at my prior vet ocvh helped my dog big time dr iaquinto is very knowledgeable budget friendly not an alarmist and prioritizes procedures as far as whats most important first to avoid spending thousands all of the staff is so friendly the facility is clean and the hours are amazing the pharmacy is on premises and open until late at night in my many many visits there i have not one single complaint,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i chose the bridge ave in point vets after a lot of research i needed a vet service that knew a lot about cats with urinary blockage for i have a male that is 5 years old who has this issue dr martins was wonderful and had studied this disease in cats fast forward 6 months later same cat different issue i called in the am and they told me to come right over this time i saw dr koeningstein she was also wonderful and so supportive i was a mess she was on the phone many days after my visit all hours of the day we still do not know what was the issue with my cat blood work shows liver levels were spiked my cat has since recovered because i had these wonderful vetsthe only issue i have is they are more expensive then other vetsi am on a fixed budget so this hurt me financially but i love my cat also there medication is way over priced so if you can take your script some where else i recommend it what cost me 2400 there for 2 tabs i got 30 tabs at costco for 1000,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
you need to have a couple hundred dollars every time to go there the bill adds up  too many doctors in the practice which make the price expensive,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have taken all of my pets to ocean county vet for years now and i find that i get a lot out of their yearly exams the vets always take the time to answer any questions that i may have and always give suggestions to improve my pets health,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr briggs was a very good vet who quickly helped my dog with expediency he took an almost dire situation to help my baby will make a full recovery,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have brought all of our pets  here for the last 20 years  very caring staff,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my family has been taking our pets to ocean county veterinary hospital since 1955 or 1956  even when dr eisenberg retired and dr falk continued the business he and his associates have taken excellent care of our dogs and parrot  we trust them to be knowledgeable and caring,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
left my dog oliver there for 10 days for my trip to california he received the best care and love which could be provided always take him the re for his examinations and any shots he requires janet,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i recently adopted a puppy and switched from a previous vet we used for our since deceased dog the office staff was delightfully friendly and the technican we had was so very gentle and kind  when the doctor came in she just as kind and very thorough  i am so glad we found we this practice,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
rooms were clean and bright,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
staff is great but we are loyal customers because dr danowitz is the best,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i truly love the care my furbaby received at this hospital  the only reason i did not give 5 stars is because while waiting to pick up my baby after surgery i heard a tech in the back tell her to shut up now while i understand how frustrating it is to have a small dog continuously bark in a cage they may not realize that the furbaby is scared misses her mom and brothers and is never ever caged so she is probably extremely stressed out instead of maybe holding and petting her to yell shut up is unacceptable and what i should have done was  opened the door to the back and reprimanded the person who did it  other than that the front desk was wonderful and i cannot say enough wonderful things about dr i,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i always get the very best service at ocvh  no matter whether i am going in to pick up medication for one of my dogs or have an appointment with one of their vets  all the vets that have taken care of my pups have been terrific  they always listen to my concerns and have clear and concise instructions for me to follow to help me care for my dogsthank you for caring for my pups as you would care for me,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr was great could tell she loved animals staff was courteous and proficient at their jobs,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lately it seems that my visits with benjaminmy 4 yearold dog have been emergencies i have total confidence in every vet doctor i have seen i recommend this veterinary hospital to everyone and have sent three people the past year who have been very satisfied with the care and say they would not consider going anywhere else linda isenburg human mom of benjamin george,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
very caring friendly staff offices well kept and clean excellent vet,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
saw dr mitchell for our elderly cat she is one of our favorite veterinarians at ocvh  we were a little disappointed in the vet tech who was nice to us and our cat but seemed uncomfortable cleaning him up after he had an accident in the cat carrier  other vet techs we have had in the past go above and beyond to clean up our kitty and his carrier  this tech seemed new and inexperienced so maybe it will be better next time  we still love ocvh,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have been with ocvh for 25 years 3 dogs wouldnt go anywhere else love dr mitchell she is so caring gentle and thorough took great care of my bailey right up to the end and now is taking great care of my molly the office staff is great pleasant and always there to help you all your questions and concerns are always addressed immediately i have recommended a few people and they are all happy  love you guys,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
they have always taken good care of my brandy i had to board her last year for 3 weeks while i was recovering from back surgerymy brother who lives in ohio found them for me and handled everything they wereare a blessing wouldnt take her anywhere else,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have been using ocvh for a really long time and through most of our dogs lives i have recommended them to all my friends that have pets too,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i am very happy with this hospital the staff is extremely helpful and friendly everyone genuinely appears to love the animals the doctors are caring and knowledgable wish the prices were a bit more affordable which would allow more needy pets to be seen by the doctors on staff,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
they are very caring with both of our cats and make them feel comfortable during their medical examinations,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my cat baxter had a laceration resulting in an abscess  the vet i initially took him to could not do the stitches that day  i called ocean county veterinary clinic and the receptionist said to bring him right over  dr weiner did the surgery that afternoon and i picked baxter up the next day  everyone was so nice  they stayed in touch that night and the next morning to let me know what was going on  i will never go anywhere else,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the 1st time we visited ocean county veterinary hospital was in february when we got our sugar gliders we were so lucky to get dr gottlieb  a few days ago we adopted a puppy and she had just been spayed and has some bleeding as a result  we headed there late in the evening with her and dr gottlieb was amazing he sat on the floor with her and made her feel comfortable  his love of animals is undeniable and he is very thorough my puppy is now feeling great and we know we found a vet for life  i also want to compliment the staff at both the lakewood and the jackson office everyone is always helpful friendly and knowledgeable,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i am so thankful for ocvhi called for an emergency and the receptionist said bring her right ini only waited 5 minutes in the officethe doctor and staff were wonderfulthank god as far as we know it is only a utii will continue too use ocvheveryone from the receptionist too assistant too the doctor was wonderfulcan not thank them enough,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
had my pets nails trimmed the vet techs were very nice and a vet actually came out to answer a question i had great experience just wish nail trimming were cheaper for smaller animals,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have 2 parrots  every place will see dogs  cats but help for birds is much harder we were able to come in right away or wait until saterday to see the main doctor we waited  doctor k was great everyone involved was so wonderful she is now are babies doctor  this is our place for help,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i loved the way ocean county veterinary hospital dealt with my dog eric and with me and all the services including the pharmacy are under one roof,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i was very pleased with everyone who works here i was treated with care and respect as was my dog bentley,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
very pleased with the compassion this office has with my dog,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have been bringing all of our pets and referring all of our friends to ocvh for over 40 years although sometimes the faces change with new physicians joining and a few leaving almost always everything remains the same high quality veterinary care starting from the top on down could not ask for better treatment or concern a special mention to dr koenigstein who most recently helped us through one of the most difficult times in our lives with compassion and understanding that is rare these days pretty sure we could not have handled this without her,"[1, 0, 0, 0, 0, 0]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have a sun conure avian and she starting laying eggs and i was very concerned about her condition i went to the fischer location and i did not feel that comfortable then the following week i spoke to dr paul crawford regarding her condition and he was so helpful and compassionate and had me go to the office to pick up medicine for her the first visit was 28680 and i am on a fixed income this was quite expensive for the visit so when dr crawford  the ocean county office said i could come in and pick up the medication and it only cost me 2251 it was such a releaf dr crawford is a wonderful person  edna krane,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
very tender with the animal every time i had to bring my cat their,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have visited two branches of this hospital for well visits for my canary each time i was impressed with the high level of service and courtesy displayed by all the employees i definitely recommend this hospital will be returning for future visits for sure,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
competent and caring vets,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz was kind enough to see max even though it was at the end of his busy schedule  he is always compassionate and caring  i also like that he takes the conservative approach when treating max  i am very happy with ocean county vets,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
all the staff  doctors are fantastic  the only issue i hadhave is that the medication prescribe for my dog besides costing 12400 he wont take or eat  even when it is ground up and mixed in with his favorites appears he can smell the medicine  other than that id recommend ocean county veterinary hospital and have to everyone who needs a vet,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
always a articulate friendly and comforting experience at our vet ,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have been using ocean county vet for years and have always found them efficient and professional love that they call you when promised and explain everything in detail,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the vet was acceptable the vets assistant the technician was terrible she said she was new and didnt know the answers to my questions about the medication i was given i asked to speak with the vet regarding the medications perscribed she left came back and just again tried to answer my question when i specifically asked to speak with the vet  thats not a big issue or a big deal the problem i have is when my large 3lb guibea pigs stomach and ribs are being squeezed down to about 2 inches against her body while my guinea pig is squeezed and screamed at the top of his lungs my guinea pig is practically mute he doesnt make vocalizations practically ever i immediately said stop squeezing him and made the doctor look at his organs again and bones since i figured an organ burst or ribs were fractured definately a traumatic experience for me and most importantly my guinea pig he doesnt really seem to be improving and im sure the severe stress of being squeezed hard and squeeling for the first time in his life added to his already declining status certainly will not be using this clinic again because of the lack of training and common sense the new  technician has this should be a professional establishment when its costomers are asked to drop 100s of dollars pet parents have enough to worry about with their sick animals they shouldnt have to be deeply concerned for the health of their animal at the hands of untrained uneducated clueless technicians  side note it wasnt his nails being trimmed he has no problem with that many people have held him normally in the past and it was a smooth experience,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
everyone is always very pleasant and they always take such wonderful care of our sam,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
terrific everyone was warm and friendly and treated bailey like a princess,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i had an excellent experience getting jack groomed it was his first grooming he is a 3 12 month old 124 pound teacup maltese he was treated with such kindness and excellent care i would highly recommend bringing your dog here it is the only place i will bring jack,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my husbands family has been using dr briggs at ocvh for over 20 years  we recommend them to everyone we know  he is the best  dr iaquinto is awesome too,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i am so grateful to have dr pearlmans care for our kitties  she shows her love for animals in all that she does  the front desk staff and techs take the time to get to know your pet and make all parts of the visit easier on a nervous kitty,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
this was our first visit to the ocean county veterinary hospital  we had been looking for a new place since we moved to toms river  the one we had been going to was not very caring and they were outrageously expensive  i got a great price on groupon for a checkup rabies vaccination and nail clipping  i thought it would be a great way to try a new place without getting slammed with a huge billwe have a  5 12 year old cockapoo who loved the attention she got  and a 20 year old bichonpoo  the doctor spent time answering questions and concerns we had about our 20 year old dog  she was very helpful and understanding  we feel that we have found the right place for our family,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
they took great care of my harley girl she is a spunky english bulldog and a very heavy breather especially when she is excited she had a runny mucos nose and was coughing they put her on antibiotics and she is doing great  they had allot of patience with her and really cared its hard not to love her because she is so friggin cute they called me a few times to check up on harley to make sure she was getting better and she is thanks to all for helping my baby girl,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my experience was reallyreally great  the dr and his staff are all wonderful people  friendly courteous  and very very pleasant and helpful  i would never hesitate to go their again and i would recommend as many many friends and family as possible thank you all for your help and kindness from pumpkin seema  and steven,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr crawford is the best vet i have ever seen all of the vets are great but dr crawford is awesome he was very informative about new treatments and hopefully the treatment that im trying now will help my babies not be so itchy so far they are doing good on the new meds if it wasnt for doc crawford i wouldnt have known that the medicine existed,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
all the staff are really caring and friendly docs are top notch and spend time with you i take all of my pets there dogs and birds great grooming on site and the groomer used to be a vet tech so she can help spot trouble early,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the staff is so kind from the front desk to the techs to the vets its always a pleasure at ocan county vet bridge ave office,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the  doctor was nice my only issue with the office is that they are money hungry and not really looking out for our petsjust more for their pockets,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
they always take good care of my rabbit,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
this was my first time using them and i must say i was very pleased with the facility and the people the doctor was very knowledgable understanding and compassionate she explained everything in as much details as we wanted and gave us time to absorb the information and make informed decisions taking care of pets is very expensive but our pets are part of our family so we need to be able to do the best for them and be able to afford it having the most information helps when hard decisions are to be made,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellent service from a very compassionate staff  especially love the knowledge professionalism and sense of humor of dr briggs who cared for my baby girl lola,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my 4 year old cat jj had a urinary track blockage  the plan was for energency surgery  i left jj and by the time i got home i got a call saying the prep medication had relaxed him and he had begun to urinate  he had to stay for a couple of days to test for toxins and monitor his urination etc  i got calls each morning and evening with progress reports  i wish  human doctors were as caring and efficient  i was confident jj was in good hands  i got full written instructions on medication and what to expect in a release report  this would have been 5 stars except for the cost  this is not specific to ocvh but in general  there is a push to adopt rescue etc animals  as a senior citizen on fixed income the cost of veterinary care makes it difficult to have a pet without the worry  in the back of my mind what if they get sick  pets are expensive proposition,"[1, 0, 0, 0, 0, 0]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz is the best stu loves coming to see him and i think dr danowitz loves it as much as stu great place to bring your animal,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
love doctor danowitz great doctor the only thing i had an issue with recently is that i feel i shouldnt have been charged for a full office visit for a 2 second booster shot still trying to figure out how that makes any sense,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ive been back and forth with vets for my dog and i could never find the right vet for her so once i went to ocvh i was amazed with how truthful and honest they were and helped me get the right things needed for my best friend i will be returning to them they are reasonably priced and nothing but loving to your animals definitely a place to go,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
great well trained professionals,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i went to ocvh due to an emergency for my dog  i do not live in the area  and this is not my pets vetdr danowitz was excellent  took the time to discuss with me the issue with my dog i did not feel rushed or and felt comfortable asking as many questions as needed to help alleviate my concerns  the treatment required several follow up visits and each time i felt comfortable that my dog was getting excellent and the best care  after arriving back home i brought my dog to his usual vet and did not get the same feeling of care and concern from him and weve been going there for almost 12 years  dr koenigstein  saw him for his last visit dr danowitz was off that day and that was the only day i can get there and she was just as wonderful  she said she spoke to dr danowitz that morning concerning my dog and not going based on reports  that made me feel much more comfortable seeing her and dr danowitzthe assistants the front desk and billing desks were all personable and helpfulmy only complaint is that i cant use dr danowitz and ocvh as my primary vet  i would switch in a heartbeat,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the staff is super friendly  it is easy to get an appointment quickly and there are never long waiting times before being seen in the exam room  the exam rooms and reception area are spotless  i trust them to know what is best for my pets,"[0, 0, 0, 1, 0, 0]","[0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
my pet goose became ill and stopped eating i took him to an emergency vet who charged me a fortune and called my pet a food group i left with my goose still sick and in need of help the next day i called ocean county vets and immediately got a appointment upon arrival clyde  my pet goose was treated wonderfully the staff gave him all the time and attention he needed they immediately did a thorough examination and appropriate testing and medication was started clyde is recovering slowly but surely thank you to dr ross gottlieb and staff for takening my concerns and acting to save my pet,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i called the office upset because my elderly dog was ill the staff was professional and kind i really appreciated their response the dr made an appointment to see us that night,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
friendly staff not a long wait time doctor was very informative,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i was very pleased with the care and attention given my pet this is the type of care i expect my previous vet retired and sold his practice which has resulted in diminished care to the animals and a huge focus on selling procedures that are unnecessary,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ill keep it short and sweet everybody i dealt with was urgent professional and truly caring i took my cat in for tooth removal prices were fair and my pet was back to her good ol self the day after her dental surgery extremely pleased,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
when bringing my eclectus in for an annual physical and a beak  nail trim i was very nervous he would be aggressive  dr koenigstein and the technician knew exactly how to hold him and were gentle and talked with him to keep him calm  she also  spoke to me about different types of behaviors of this specific parrot which eased my mind  very impressed with the care my zazu received and would recommend this facility and doctor for exotic birds,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my dog almost died with the wrong diagnosed at this hospital  same name took the dog to garden state hospital where they saved my dog life,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr blairs 5 minutes of looking at my bearded dragon was 92 she wanted to give anesthesia to lance an abscess costing over 400 just got antibiotics and food supplement instead to treat her sadly other friends of mine agree that this vet hospital over charges for its services,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i can not say enough about the fisher blvd location caring passionate professionals from the front desk to the assistant to the vet i highly recommend them for your pet,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
they knew how to handle my cat who is aggressive with the veterinary my cat was less stressed out afterwards they were extremely interested in his needs they knew what they needed to do with regards to testing  an overall great environment for your pet while they are examined a very can do attitude environment and very loving feeling for your pets while they are in their,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we were in a difficult situation dealing with our cat that was in need of a tail amputation due to a prior injury doctor and staff were extremely compassionate and flexible as we are going through some family health issues as well they took excellent care of our baby and she is heading well i would highly recommend their service to all,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
as a new client with an animal classified as exotic pet  a bunny  i was thrilled to hear that the doctors on staff did see pet rabbits some offices will not from the moment you walk in you are greeted by friendly staff and you feel very comfortable bringing your pet there doctor and technician were both very attentive to not only the needs of the rabbit but to my concerns and questions my pet was treated and handled with tlc as if it were a pet of their own  i would highly recommend this vet care office to my friends,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
were relatively new clients of ocvh and have been exceedingly impressed with the care concern and efficiency of this practice it started out with an emergency visit and now were setting up appointments and bringing all our pets there  each person we have talked tointeracted with has been phenomenal can say enough good things about the care and treatment of our pets and us,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ive been going to ocvh for my dog for almost 11 years now and im extremely happy with everyone there and the care and compassion they all have hands down best place to bring your beloved animals,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
a well organized business  dr briggs spent much time with me as was needed he is being very helpful with the dogs situation,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
everyone was so nice and took care of my furry friend like it was thier own,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my dog broke out in a nasty rash while we were down the shore for the week  we called ocean county veterinary hospital before they opened and they fit us in as the first appointment of the day  they were very thorough and even called her vet for her medical history  the doctor cleaned her up and gave her the medications she needed  i would highly recommend them,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellent  vets great service l would trust my dogs to anyone else,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i was given a same day appointment dr and assistant were able to handle my little dog w his big attitude very caring and knowledgeable thank you,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
had our rabbit neutered here from the reception staff vet techs and the doctor i have nothing but good things to say pleasant clean timely dr martins was fantastic and treated our bunny with extreme care we appreciated the follow up call the following day checking in to make sure our bunny was doing well after the surgery can definitely recommend,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my dog lex face was swollen one morning rushed her there they were so kind and gently to her love the placethey had her in and out and unswollen by the end of the dayvery affordable too will be back,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i couldnt get a hold of my vet on the day i needed her so i called your company and they took me even though they were closing in a few minutesthey were great,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i called for an emergency appointment and was given one only 20 minutes later we were seen quickly everything was explained and staff was very professional,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have been clients of ocvh since we had our first dog in the 1970s  they are and always have been extremely accomodating compassionate and professional,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
very cleanhelpful proficient doctors dr briggs is great,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz and the rest of the staff are awesome we have multiple pets we take there and have never had an issue knowledgeable courteous and kind,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz was very caring and thorough i am happy i found him  ,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
great service all around the doctor explained everything that was going on very courteous staff,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
always a great experience at ocvh,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
our dog is a rescue and she is afraid of other people and pets  i never know how she will react if another dog gets too close  oc vet is very understanding and help make our visit as pleasant as possible,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i wish i could give them 10 stars  always professional friendly and caring towards animal and owners  truly a family atmosphere  i over the doctors and the staff  true animal lovers,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my dog hurt herself and my vet was closed on the weekends my wife takes her cat to the office in toms river they took my dog on a sunday and made our appt within the hour that i called the staff and dr were amazing very kind helpful and took the time to explain my dogs condition days later my dog is so much better cant even tell she was hurting 4 days ago,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
they have been really good with all our pets that we have brought there friendly and willing to answer all your questions,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the best care the best facility the best vets the best technicians,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
love all the doctors and nursesthey never turn you down for an appointment i would give them 10 stars if i could,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
great staff and best veterinarians everyone is kind and caring,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
many family members have used ocvh in the past so when our family got a new puppy it was no question where we were bringing her the staff is always kind welcoming and informative if they dont know they answer they make sure to get it for you weve been to the lakewood location quite often in the past six months for checkups shots a spay and boarding twice every time has been nothing short of enjoyable and i would recommend this vet group to anyone,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz has been such a wonderful vet with both my dog and cat he takes the time to explain different treatment options and interacts so well with myself my pets and even my children he gives the kids the opportunity to listen to the animals heartbeat and answers any questing they have as well he has been spot on when diagnosing my pets,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
even though i see different vets when i take my 2 pups here they have all been excellent  we have been using this vet since i brought my pups home when they were 12 weeks old 2 years later and i have always felt they got the best possible care from these vets,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
